age,page,workst,pworkst,sex,psex,samesex,reldur,reldur_class,cohab,nkidsliv_class,relsat,prelsat,relint,prelint,tf_kiss,tf_hold,tf_hug,ptf_kiss,ptf_hold,ptf_hug,omo15i1_w2b,omo16i1_w2b,omo17i1_w2b,omo15i2_w2b,omo16i2_w2b,omo17i2_w2b,pomo15i1_w2b,pomo16i1_w2b,pomo17i1_w2b,pomo15i2_w2b,pomo16i2_w2b,pomo17i2_w2b,agediff_class,confm,pconfm,loneliness,ploneliness,lifsat,plifsat,extr,agree,consc,open,neur,depr,pdepr,self,pself,health,phealth,consv,god,pgod,pextr,pagree,pconsc,popen,pneur,east,peast,degurba,pdegurba,married,pconsv,ykage_class_w2b
40,39,"Full time activity","Part-time activity","Male","Female","Different sex",21.83333,"21+","Cohabiting","3+","8","10 - Completely satisfied",24,25,"6-10x","1-5x","1-5x","21-50x","0x","1-5x","6 to 10 times","1 to 5 times","1 to 5 times","11 to 20 times","6 to 10 times","1 to 5 times","21 to 50 times","Not at all","1 to 5 times","21 to 50 times","Not at all","1 to 5 times","Same age",24,24,"1 - Not at all","1 - Not at all","7","9",7,9,11,12,6,5,5,12,14,4,4,13,0,0,10,10,10,9,7,"West Germany","West Germany","Town or suburb","Town or suburb","Married",10,"2-5"
47,50,"Full time activity","Full time activity","Female","Male","Different sex",20.5,"11-20","Cohabiting","0","8","8",17,20,"1-5x","1-5x","0x","0x","1-5x","0x","1 to 5 times","1 to 5 times","Not at all","1 to 5 times","1 to 5 times","Not at all","Not at all","1 to 5 times","Not at all","6 to 10 times","6 to 10 times","1 to 5 times","2-5y. older partner",22,22,"2","4","8","9",10,7,12,11,8,6,4,13,7,3,4,12,1,0,9,13,9,10,6,"West Germany","West Germany","City","City","Not married",20,
45,50,"Part-time activity","Full time activity","Female","Male","Different sex",10.91667,"6-10","Cohabiting","1","10 - Completely satisfied","8",20,19,"21-50x","11-20x","> 50x","6-10x","1-5x","1-5x","21 to 50 times","11 to 20 times","More than 50 times","21 to 50 times","11 to 20 times","More than 50 times","6 to 10 times","1 to 5 times","1 to 5 times","21 to 50 times","11 to 20 times","21 to 50 times","2-5y. older partner",25,28,"5 - Absolutely","2","0 - Not at all satisfied","7",9,8,9,6,15,12,4,4,14,2,4,13,0,0,11,8,13,6,7,"East Germany","East Germany","Town or suburb","Town or suburb","Not married",12,"6-13"
39,36,"Full time activity","Part-time activity","Male","Female","Different sex",10.58333,"6-10","Cohabiting","1","9","8",24,30,"21-50x","11-20x","11-20x","> 50x","11-20x","6-10x","21 to 50 times","11 to 20 times","11 to 20 times","21 to 50 times","11 to 20 times","11 to 20 times","More than 50 times","11 to 20 times","6 to 10 times","No answer","No answer","No answer","2-5y. younger partner",26,29,"1 - Not at all","2","8","10 - Completely satisfied",10,10,13,10,5,4,4,13,10,3,3,9,5,5,11,12,13,11,6,"West Germany","West Germany","Rural area","Rural area","Married",22,"6-13"
37,39,"Full time activity","Full time activity","Female","Male","Different sex",13.58333,"11-20","Cohabiting","2","8","8",17,19,"11-20x","6-10x","6-10x","0x","0x","0x","11 to 20 times","6 to 10 times","6 to 10 times","No answer","21 to 50 times","11 to 20 times","Not at all","Not at all","Not at all","6 to 10 times","6 to 10 times","6 to 10 times","2-5y. older partner",22,18,"1 - Not at all","1 - Not at all","8","9",8,10,8,8,11,6,6,10,10,3,4,8,0,0,9,6,11,11,9,"East Germany","East Germany","Town or suburb","Town or suburb","Married",7,"6-13"
34,34,"Part-time activity","Part-time activity","Female","Male","Different sex",11.41667,"11-20","Cohabiting","0","9","9",23,25,"1-5x","1-5x","11-20x","1-5x","11-20x","21-50x","1 to 5 times","1 to 5 times","11 to 20 times","1 to 5 times","1 to 5 times","11 to 20 times","1 to 5 times","11 to 20 times","21 to 50 times","1 to 5 times","11 to 20 times","21 to 50 times","Same age",25,24,"1 - Not at all","2","9","8",10,13,12,14,6,5,5,15,13,5,4,7,0,0,8,6,13,4,10,"West Germany","West Germany","Town or suburb","Town or suburb","Married",27,
34,34,"Part-time activity","Full time activity","Female","Male","Different sex",9.416667,"6-10","Cohabiting","1","8","7",20,17,"6-10x","1-5x","1-5x","1-5x","1-5x","1-5x","6 to 10 times","1 to 5 times","1 to 5 times","11 to 20 times","6 to 10 times","6 to 10 times","1 to 5 times","1 to 5 times","1 to 5 times","6 to 10 times","6 to 10 times","6 to 10 times","Same age",26,21,"1 - Not at all","2","8","6",9,13,13,10,4,4,5,14,15,5,3,12,4,0,9,11,12,14,3,"West Germany","West Germany","City","City","Married",14,"0-1"
36,42,"Full time activity","Full time activity","Female","Male","Different sex",10.83333,"6-10","Cohabiting","2","8","9",23,25,"11-20x","6-10x","6-10x","1-5x","1-5x","6-10x","11 to 20 times","6 to 10 times","6 to 10 times","11 to 20 times","11 to 20 times","11 to 20 times","1 to 5 times","1 to 5 times","6 to 10 times","1 to 5 times","1 to 5 times","6 to 10 times","6-10y. older partner",28,23,"2","1 - Not at all","9","8",12,11,10,15,10,4,3,12,13,4,4,10,7,0,8,10,10,9,8,"East Germany","East Germany","City","City","Married",7,"6-13"
47,44,"Part-time activity","Full time activity","Female","Female","Same sex",3.166667,"3-5","Separate households","0","9","8",22,24,"21-50x","21-50x","6-10x","6-10x","6-10x","1-5x","21 to 50 times","21 to 50 times","6 to 10 times","More than 50 times","21 to 50 times","6 to 10 times","6 to 10 times","6 to 10 times","1 to 5 times","6 to 10 times","6 to 10 times","1 to 5 times","2-5y. younger partner",22,26,"1 - Not at all","1 - Not at all","9","7",11,13,10,8,5,4,5,13,12,5,4,21,7,0,8,7,12,9,10,"West Germany","East Germany","Rural area","City","Not married",14,
44,43,"Home","Full time activity","Female","Male","Different sex",21.16667,"21+","Cohabiting","3+","7","6",16,12,"1-5x","0x","1-5x","0x","0x","0x","1 to 5 times","Not at all","1 to 5 times","1 to 5 times","Not at all","1 to 5 times","Not at all","Not at all","Not at all","6 to 10 times","6 to 10 times","6 to 10 times","Same age",27,21,"2","3","8","5",9,11,12,11,7,5,5,14,9,4,5,12,5,2,8,10,7,11,9,"West Germany","West Germany","City","City","Married",17,"6-13"
45,46,"Part-time activity","Full time activity","Female","Male","Different sex",31.08333,"21+","Cohabiting","2","8","8",25,26,"21-50x","21-50x","21-50x","21-50x","21-50x","21-50x","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","Same age",25,25,"1 - Not at all","1 - Not at all","7","7",10,11,15,10,6,3,3,14,13,4,4,16,3,0,12,11,14,11,7,"East Germany","East Germany","Town or suburb","Town or suburb","Married",11,"14-17"
45,42,"Full time activity","Part-time activity","Male","Female","Different sex",15.41667,"11-20","Cohabiting","2","9","9",19,26,"11-20x","> 50x","21-50x","21-50x","21-50x","11-20x","11 to 20 times","More than 50 times","21 to 50 times","21 to 50 times","More than 50 times","More than 50 times","21 to 50 times","21 to 50 times","11 to 20 times","21 to 50 times","21 to 50 times","11 to 20 times","2-5y. younger partner",22,25,"1 - Not at all","2","5","8",8,12,10,7,6,3,3,13,13,4,4,19,3,5,10,8,14,6,7,"West Germany",,"Town or suburb",,"Married",13,"2-5"
44,42,"Full time activity","Full time activity","Male","Female","Different sex",11.25,"11-20","Cohabiting","2","8","5",20,14,"6-10x","11-20x","6-10x","1-5x","1-5x","1-5x","6 to 10 times","11 to 20 times","6 to 10 times","11 to 20 times","11 to 20 times","6 to 10 times","1 to 5 times","1 to 5 times","1 to 5 times","11 to 20 times","6 to 10 times","6 to 10 times","2-5y. younger partner",22,24,"2","4","8","4",12,8,10,9,7,3,7,13,7,4,3,14,0,2,6,8,8,15,12,"West Germany","West Germany","Town or suburb","Town or suburb","Married",11,"2-5"
48,38,"Part-time activity","Part-time activity","Male","Female","Different sex",14.41667,"11-20","Cohabiting","1","8","7",20,19,"21-50x","21-50x","21-50x","> 50x","21-50x","11-20x","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","More than 50 times","21 to 50 times","11 to 20 times","More than 50 times","21 to 50 times","11 to 20 times","6-10y. younger partner",26,21,"1 - Not at all","3","7","7",9,11,10,12,9,6,7,10,9,4,3,14,5,5,13,14,10,12,12,"West Germany","West Germany","City","Town or suburb","Married",11,"0-1"
34,34,"Full time activity","Full time activity","Female","Male","Different sex",2.5,"0-2","Cohabiting","0","10 - Completely satisfied","8",22,23,"> 50x","11-20x","11-20x","11-20x","6-10x","6-10x","More than 50 times","11 to 20 times","11 to 20 times","More than 50 times","11 to 20 times","11 to 20 times","11 to 20 times","6 to 10 times","6 to 10 times","11 to 20 times","6 to 10 times","6 to 10 times","Same age",27,25,"1 - Not at all","1 - Not at all","8","8",9,13,11,9,7,6,4,15,13,4,5,9,0,0,7,14,9,7,7,"West Germany","West Germany","City","City","Not married",21,
36,37,"Home","Full time activity","Female","Male","Different sex",10.91667,"6-10","Cohabiting","3+","9","8",19,25,"11-20x","11-20x","11-20x","21-50x","11-20x","11-20x","11 to 20 times","11 to 20 times","11 to 20 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","11 to 20 times","11 to 20 times","More than 50 times","11 to 20 times","11 to 20 times","Same age",13,21,"3","2","8","7",9,9,13,9,10,6,4,9,12,3,4,26,8,3,11,11,9,14,7,"West Germany","East Germany","City","City","Married",25,"2-5"
30,36,"Full time activity","Full time activity","Female","Male","Different sex",6.666667,"6-10","Cohabiting","0","9","8",22,16,"6-10x","11-20x","6-10x","21-50x","21-50x","6-10x","6 to 10 times","11 to 20 times","6 to 10 times","6 to 10 times","11 to 20 times","6 to 10 times","21 to 50 times","21 to 50 times","6 to 10 times","21 to 50 times","21 to 50 times","6 to 10 times","6-10y. older partner",19,20,"1 - Not at all","1 - Not at all","8","8",11,11,13,11,8,5,6,12,13,4,4,21,10,10,9,12,11,10,7,"East Germany","East Germany","Town or suburb","Town or suburb","Married",12,
19,19,"Full time activity","Full time activity","Male","Female","Different sex",,,"Separate households","0","9","9",26,25,"> 50x","> 50x","> 50x","11-20x","21-50x","6-10x","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","11 to 20 times","21 to 50 times","6 to 10 times","11 to 20 times","21 to 50 times","6 to 10 times","Same age",28,25,"2","4","8","6",12,8,13,11,5,5,7,11,7,5,3,27,0,2,11,12,10,10,13,"West Germany","West Germany","Town or suburb","Town or suburb","Not married",15,
36,36,"Full time activity","Part-time activity","Male","Female","Different sex",4.666667,"3-5","Cohabiting","1","5","7",16,20,"6-10x","1-5x","1-5x","21-50x","21-50x","21-50x","6 to 10 times","1 to 5 times","1 to 5 times","6 to 10 times","11 to 20 times","6 to 10 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","Same age",17,26,"4","3","7","8",8,11,9,11,8,7,6,11,13,4,4,21,0,0,11,14,7,10,9,"West Germany","West Germany","City","City","Married",11,"2-5"
20,20,"Full time activity","Full time activity","Male","Female","Different sex",2.416667,"0-2","Separate households","0","6","7",24,20,"1-5x","1-5x","1-5x","1-5x","11-20x","1-5x","1 to 5 times","1 to 5 times","1 to 5 times","6 to 10 times","1 to 5 times","1 to 5 times","1 to 5 times","11 to 20 times","1 to 5 times","11 to 20 times","21 to 50 times","11 to 20 times","Same age",24,12,"2","3","7","7",10,12,11,11,10,4,6,11,9,4,3,17,0,2,10,12,8,8,11,"West Germany","West Germany","Rural area","City","Not married",19,
38,37,"Full time activity","Part-time activity","Female","Male","Different sex",5.666667,"3-5","Cohabiting","1","8","7",22,24,"6-10x","0x","6-10x","6-10x","6-10x","1-5x","6 to 10 times","Not at all","6 to 10 times","6 to 10 times","Not at all","6 to 10 times","6 to 10 times","6 to 10 times","1 to 5 times","6 to 10 times","6 to 10 times","1 to 5 times","Same age",21,19,"3","2","8","8",10,11,13,12,11,6,6,10,12,4,3,13,0,0,11,12,10,13,8,"West Germany","West Germany","City","City","Not married",13,
27,28,"Full time activity","Full time activity","Female","Male","Different sex",4.75,"3-5","Cohabiting","0","9","9",25,25,"11-20x","6-10x","6-10x","6-10x","11-20x","6-10x","11 to 20 times","6 to 10 times","6 to 10 times","11 to 20 times","6 to 10 times","6 to 10 times","6 to 10 times","11 to 20 times","6 to 10 times","11 to 20 times","11 to 20 times","6 to 10 times","Same age",23,27,"1 - Not at all","1 - Not at all","7","7",9,11,12,10,11,7,4,13,13,3,4,15,3,0,12,10,10,9,6,"West Germany","West Germany","Rural area","Rural area","Married",13,
30,26,"Full time activity","Full time activity","Male","Female","Different sex",11.5,"11-20","Cohabiting","1","9","9",23,21,"11-20x","6-10x","1-5x","21-50x","1-5x","6-10x","11 to 20 times","6 to 10 times","1 to 5 times","11 to 20 times","6 to 10 times","1 to 5 times","21 to 50 times","1 to 5 times","6 to 10 times","21 to 50 times","1 to 5 times","6 to 10 times","2-5y. younger partner",28,29,"1 - Not at all","2","8","8",9,6,8,8,8,4,4,13,12,4,4,17,0,2,10,5,11,9,6,"East Germany","East Germany","Town or suburb","Town or suburb","Married",14,"0-1"
40,33,"Full time activity","Part-time activity","Male","Female","Different sex",14.83333,"11-20","Cohabiting","1","8","7",17,16,"0x","0x","0x","0x","1-5x","1-5x","Not at all","Not at all","Not at all","1 to 5 times","1 to 5 times","1 to 5 times","Not at all","1 to 5 times","1 to 5 times","6 to 10 times","11 to 20 times","11 to 20 times","6-10y. younger partner",24,19,"2","3","8","7",9,10,9,8,7,4,4,13,12,4,4,17,3,3,9,10,13,10,8,"West Germany","West Germany","Rural area","Rural area","Married",16,"2-5"
28,26,"Home","Full time activity","Female","Male","Different sex",7.416667,"6-10","Cohabiting","0","10 - Completely satisfied","9",25,25,"> 50x","> 50x","> 50x","21-50x","> 50x","> 50x","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","21 to 50 times","More than 50 times","More than 50 times","21 to 50 times","More than 50 times","More than 50 times","2-5y. younger partner",27,24,"1 - Not at all","1 - Not at all","10 - Completely satisfied","7",12,14,11,14,5,4,5,15,10,5,3,7,2,5,6,10,13,9,7,"West Germany","West Germany","City","City","Married",12,
33,31,"Home","Home","Male","Female","Different sex",2.333333,"0-2","Cohabiting","1","9","8",25,28,"21-50x","1-5x","11-20x","21-50x","11-20x","11-20x","21 to 50 times","1 to 5 times","11 to 20 times","21 to 50 times","1 to 5 times","21 to 50 times","21 to 50 times","11 to 20 times","11 to 20 times","6 to 10 times","6 to 10 times","1 to 5 times","2-5y. younger partner",25,26,"1 - Not at all","2","9","8",6,13,11,13,6,4,4,11,15,4,5,7,0,0,10,10,10,11,6,"West Germany","West Germany","City","City","Married",7,"0-1"
42,37,"Full time activity","Part-time activity","Female","Female","Same sex",6.583333,"6-10","Cohabiting","1","8","9",24,24,"21-50x","21-50x","11-20x","21-50x","21-50x","21-50x","21 to 50 times","21 to 50 times","11 to 20 times","More than 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","2-5y. younger partner",25,22,"1 - Not at all","1 - Not at all","7","6",9,14,13,9,8,5,6,12,7,3,4,12,3,2,5,11,13,6,11,"West Germany","West Germany","Town or suburb","Town or suburb","Married",9,"2-5"
35,28,"Full time activity","Full time activity","Male","Female","Different sex",8,"6-10","Cohabiting","0","7","8",16,20,"21-50x","11-20x","6-10x","6-10x","6-10x","1-5x","21 to 50 times","11 to 20 times","6 to 10 times","6 to 10 times","11 to 20 times","6 to 10 times","6 to 10 times","6 to 10 times","1 to 5 times","6 to 10 times","11 to 20 times","1 to 5 times","6-10y. younger partner",17,25,"3","1 - Not at all","7","7",11,6,15,10,10,6,6,11,11,3,3,26,0,7,9,15,11,6,11,"West Germany","West Germany","Town or suburb","Town or suburb","Not married",10,
49,41,"Full time activity","Part-time activity","Female","Male","Different sex",18.5,"11-20","Cohabiting","1","9","10 - Completely satisfied",,25,"21-50x","1-5x","11-20x","6-10x","1-5x","21-50x","21 to 50 times","1 to 5 times","11 to 20 times","21 to 50 times","11 to 20 times","11 to 20 times","6 to 10 times","1 to 5 times","21 to 50 times","11 to 20 times","1 to 5 times","21 to 50 times","6-10y. younger partner",,22,"1 - Not at all","1 - Not at all","8","8",10,11,14,9,8,4,5,13,12,4,3,9,5,0,6,14,10,11,5,"East Germany","East Germany","Town or suburb","Town or suburb","Married",9,"6-13"
38,37,"Part-time activity","Part-time activity","Female","Male","Different sex",18.16667,"11-20","Cohabiting","1","9","6",18,20,"> 50x","> 50x","> 50x","21-50x","11-20x","11-20x","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","21 to 50 times","11 to 20 times","11 to 20 times","21 to 50 times","21 to 50 times","21 to 50 times","Same age",21,25,"2","2","8","8",11,13,13,11,5,5,4,15,14,5,5,10,10,1,13,14,12,12,5,"West Germany","West Germany","City","City","Married",10,"2-5"
29,23,"Full time activity","Full time activity","Male","Female","Different sex",2.333333,"0-2","Cohabiting","0","10 - Completely satisfied","9",29,23,"21-50x","11-20x","> 50x","21-50x","21-50x","21-50x","21 to 50 times","11 to 20 times","More than 50 times","21 to 50 times","11 to 20 times","More than 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","More than 50 times","6-10y. younger partner",30,24,"1 - Not at all","3","9","7",14,10,12,9,10,5,9,10,5,4,3,13,7,3,7,14,11,9,11,"West Germany","West Germany","Town or suburb","Town or suburb","Married",13,
37,38,"Full time activity","Full time activity","Male","Female","Different sex",5.416667,"3-5","Cohabiting","0","6","8",20,22,"11-20x","6-10x","1-5x","21-50x","21-50x","11-20x","11 to 20 times","6 to 10 times","1 to 5 times","11 to 20 times","11 to 20 times","11 to 20 times","21 to 50 times","21 to 50 times","11 to 20 times","21 to 50 times","21 to 50 times","21 to 50 times","Same age",21,23,"2","3","6","5",9,11,14,13,6,4,6,13,7,5,4,16,6,0,10,7,12,12,10,"West Germany","West Germany","City","City","Not married",18,
43,35,"Full time activity","Part-time activity","Male","Female","Different sex",7.916667,"6-10","Cohabiting","2","8","8",22,22,"6-10x","11-20x","6-10x","11-20x","11-20x","6-10x","6 to 10 times","11 to 20 times","6 to 10 times","11 to 20 times","11 to 20 times","6 to 10 times","11 to 20 times","11 to 20 times","6 to 10 times","11 to 20 times","11 to 20 times","6 to 10 times","6-10y. younger partner",26,26,"1 - Not at all","1 - Not at all","8","8",7,12,13,9,7,4,4,15,11,4,3,11,3,7,8,11,11,7,8,"West Germany","West Germany","Town or suburb","Town or suburb","Married",15,"2-5"
41,37,"Full time activity","Full time activity","Male","Female","Different sex",9.75,"6-10","Cohabiting","3+","10 - Completely satisfied","9",23,21,"21-50x","21-50x","21-50x","11-20x","11-20x","11-20x","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","2-5y. younger partner",23,22,"1 - Not at all","2","6","7",11,10,13,7,8,6,3,13,13,3,3,16,0,0,14,9,15,10,8,"West Germany","West Germany","Rural area","Rural area","Married",16,"2-5"
47,34,"Full time activity","Full time activity","Male","Female","Different sex",7,"6-10","Cohabiting","0","10 - Completely satisfied","10 - Completely satisfied",28,27,"> 50x","> 50x","> 50x","> 50x","21-50x","> 50x","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","21 to 50 times","More than 50 times","More than 50 times","21 to 50 times","More than 50 times","> 10y. younger partner",27,27,"1 - Not at all","1 - Not at all","9","9",5,13,12,14,6,4,6,15,15,4,4,11,0,3,12,15,11,13,9,"West Germany","West Germany","City","City","Married",7,
22,21,"Full time activity","Full time activity","Female","Male","Different sex",2.833333,"0-2","Separate households","0","9","9",28,27,"> 50x","> 50x","11-20x","> 50x","11-20x","1-5x","More than 50 times","More than 50 times","11 to 20 times","No answer","No answer","11 to 20 times","More than 50 times","11 to 20 times","1 to 5 times","More than 50 times","11 to 20 times","1 to 5 times","Same age",25,27,"1 - Not at all","1 - Not at all","6","8",6,13,11,6,8,3,4,13,14,5,4,14,5,2,12,13,12,12,5,"West Germany","West Germany","Rural area","City","Not married",18,
41,34,"Full time activity","Full time activity","Female","Male","Different sex",.9166667,"0-2","Cohabiting","3+","7","10 - Completely satisfied",24,23,"> 50x","21-50x","> 50x","6-10x","6-10x","6-10x","More than 50 times","21 to 50 times","More than 50 times","No answer","No answer","No answer","6 to 10 times","6 to 10 times","6 to 10 times","6 to 10 times","6 to 10 times","6 to 10 times","6-10y. younger partner",25,29,"1 - Not at all","1 - Not at all","7","9",11,11,13,12,8,3,3,11,15,3,5,18,3,0,7,9,9,14,6,"West Germany","West Germany","Rural area","Rural area","Not married",21,"6-13"
48,43,"Full time activity",,"Male","Female","Different sex",28.75,"21+","Cohabiting","3+","7","8",16,18,"6-10x","11-20x","6-10x","11-20x","6-10x","11-20x","6 to 10 times","11 to 20 times","6 to 10 times","11 to 20 times","11 to 20 times","6 to 10 times","11 to 20 times","6 to 10 times","11 to 20 times","21 to 50 times","21 to 50 times","21 to 50 times","2-5y. younger partner",20,22,"2","3","4","5",4,12,10,7,12,6,5,9,7,2,3,11,3,6,10,12,12,7,12,"East Germany","East Germany","City","City","Married",9,"6-13"
29,36,"Full time activity","Full time activity","Female","Male","Different sex",4.166667,"3-5","Cohabiting","1","8","7",17,18,"11-20x","6-10x","21-50x","11-20x","6-10x","6-10x","11 to 20 times","6 to 10 times","21 to 50 times","11 to 20 times","11 to 20 times","21 to 50 times","11 to 20 times","6 to 10 times","6 to 10 times","1 to 5 times","6 to 10 times","1 to 5 times","6-10y. older partner",18,19,"2","1 - Not at all","8","6",8,14,14,7,9,4,7,12,13,3,2,16,0,0,8,5,8,12,9,"West Germany","West Germany","City","Town or suburb","Not married",16,
42,51,"Part-time activity","Full time activity","Female","Male","Different sex",10.41667,"6-10","Cohabiting","2","7","8",20,22,"> 50x","21-50x","11-20x","21-50x","1-5x","21-50x","More than 50 times","21 to 50 times","11 to 20 times","More than 50 times","21 to 50 times","11 to 20 times","21 to 50 times","1 to 5 times","21 to 50 times","More than 50 times","11 to 20 times","21 to 50 times","6-10y. older partner",25,23,"1 - Not at all","2","7","6",11,12,12,9,8,6,6,13,9,4,3,11,5,1,7,12,8,8,9,"West Germany","West Germany","Rural area","Rural area","Not married",21,"14-17"
24,25,"Full time activity","Full time activity","Female","Male","Different sex",7.416667,"6-10","Cohabiting","0","8","9",25,24,"21-50x","1-5x","6-10x","21-50x","11-20x","> 50x","21 to 50 times","1 to 5 times","6 to 10 times","21 to 50 times","1 to 5 times","6 to 10 times","21 to 50 times","11 to 20 times","More than 50 times","More than 50 times","21 to 50 times","More than 50 times","Same age",27,26,"3","1 - Not at all","7","7",8,11,14,11,11,6,4,8,13,4,5,10,2,3,9,10,11,9,8,"West Germany","West Germany","Town or suburb","Town or suburb","Not married",10,
28,25,"Full time activity","Full time activity","Male","Male","Same sex",6.416667,"6-10","Cohabiting","0","8","7",22,,"1-5x","11-20x","21-50x","0x","11-20x","11-20x","1 to 5 times","11 to 20 times","21 to 50 times","11 to 20 times","11 to 20 times","21 to 50 times","Not at all","11 to 20 times","11 to 20 times","1 to 5 times","11 to 20 times","11 to 20 times","2-5y. younger partner",21,,"2","1 - Not at all","5","8",7,11,10,7,12,6,6,10,15,4,4,14,0,0,11,7,7,9,9,"West Germany","West Germany","Town or suburb","Town or suburb","Married",16,
36,33,"Full time activity","Full time activity","Male","Female","Different sex",9.25,"6-10","Cohabiting","3+","8","6",19,20,"11-20x","6-10x","6-10x","11-20x","6-10x","21-50x","11 to 20 times","6 to 10 times","6 to 10 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","6 to 10 times","21 to 50 times","6 to 10 times","6 to 10 times","11 to 20 times","2-5y. younger partner",25,19,"1 - Not at all","2","8","7",11,9,12,6,6,3,8,11,10,3,4,17,10,9,13,8,14,10,11,"West Germany","West Germany","Town or suburb","Town or suburb","Married",8,"0-1"
25,25,"Full time activity","Full time activity","Female","Male","Different sex",8.25,"6-10","Cohabiting","0","9","9",25,27,"21-50x","21-50x","11-20x","21-50x","11-20x","11-20x","21 to 50 times","21 to 50 times","11 to 20 times","21 to 50 times","21 to 50 times","11 to 20 times","21 to 50 times","11 to 20 times","11 to 20 times","21 to 50 times","11 to 20 times","11 to 20 times","Same age",25,30,"2","2","8","8",11,10,12,10,9,6,4,12,12,5,4,13,1,0,5,8,9,12,9,"West Germany","West Germany","City","Town or suburb","Not married",16,
34,33,"Full time activity","Home","Male","Female","Different sex",12.25,"11-20","Cohabiting","1","7","8",23,20,"21-50x","1-5x","11-20x","21-50x","6-10x","> 50x","21 to 50 times","1 to 5 times","11 to 20 times","21 to 50 times","6 to 10 times","21 to 50 times","21 to 50 times","6 to 10 times","More than 50 times","21 to 50 times","21 to 50 times","More than 50 times","Same age",24,22,"2","1 - Not at all","7","8",13,15,14,10,8,6,3,9,10,5,4,12,4,7,9,12,11,14,7,"West Germany","West Germany","Rural area","Rural area","Married",10,"0-1"
32,37,"Full time activity",,"Female","Male","Different sex",1.166667,"0-2","Cohabiting","0","8","8",,24,"21-50x","21-50x","11-20x","21-50x","11-20x","11-20x","21 to 50 times","21 to 50 times","11 to 20 times","21 to 50 times","21 to 50 times","11 to 20 times","21 to 50 times","11 to 20 times","11 to 20 times","21 to 50 times","11 to 20 times","11 to 20 times","2-5y. older partner",,25,"2","3","7","8",9,8,9,10,8,5,6,11,12,4,4,10,0,1,10,10,10,11,7,"West Germany","West Germany","City","Town or suburb","Not married",15,
24,27,"Full time activity","Home","Female","Male","Different sex",1.5,"0-2","Cohabiting","0","5","10 - Completely satisfied",16,14,"6-10x","1-5x","0x","> 50x","1-5x","6-10x","6 to 10 times","1 to 5 times","Not at all","11 to 20 times","6 to 10 times","1 to 5 times","More than 50 times","1 to 5 times","6 to 10 times","More than 50 times","1 to 5 times","11 to 20 times","2-5y. older partner",21,14,"4","1 - Not at all","6","5",6,11,7,7,9,8,7,8,6,4,3,15,1,0,7,7,10,8,11,"West Germany","West Germany","Rural area","Rural area","Not married",19,
33,34,"Part-time activity","Part-time activity","Female","Male","Different sex",13.75,"11-20","Cohabiting","0","8","8",21,21,"11-20x","6-10x","6-10x","6-10x","6-10x","6-10x","11 to 20 times","6 to 10 times","6 to 10 times","11 to 20 times","6 to 10 times","6 to 10 times","6 to 10 times","6 to 10 times","6 to 10 times","6 to 10 times","6 to 10 times","11 to 20 times","Same age",22,24,"2","1 - Not at all","8","7",7,11,11,10,10,6,4,10,10,5,3,14,0,0,10,9,9,9,8,"West Germany","West Germany","Town or suburb","Town or suburb","Not married",21,
34,27,"Full time activity","Home","Male","Female","Different sex",6.666667,"6-10","Cohabiting","2","8","9",22,26,"11-20x","6-10x","11-20x","11-20x","6-10x","6-10x","11 to 20 times","6 to 10 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","6 to 10 times","6 to 10 times","21 to 50 times","21 to 50 times","21 to 50 times","6-10y. younger partner",21,24,"1 - Not at all","3","8","7",10,10,9,9,6,3,5,14,7,4,2,14,0,0,11,10,14,10,12,"East Germany","East Germany","Town or suburb","Town or suburb","Married",15,"0-1"
